N ORDEN,N CAMARA,BARRIOS,SINIESTRO,DIRECCION SINIESTRO,FECHA,HORA,CODIGO PARTICIPANTES,CODIGOS CAUSAS,SEMAFOROS,,,,
1843,141,Coronel Dorrego,1,25 de Mayo y Coronel Suarez,06/08/24,08:33:00,CTA/A,NSD,FALTA SUPERVISAR,,,,
1844,67,San Jose,1,Independencia y Vieytes,06/08/24,11:53:00,A/B,NSD,FALTA SUPERVISAR,,,,
1845,54,Nueve de Julio,1,Luro y Albarracin,06/08/24,19:34:00,A,NSD,FALTA SUPERVISAR,,,,
1846,344,San Cayetano,1,Luro y David Ortega,06/08/24,20:18:00,CTA/M,NSD,FALTA SUPERVISAR,,,,
1847,31,Peralta Ramos Oeste,1,L. de la Torre y Hernandarias,07/08/24,16:42:00,A/M,NSD,FALTA SUPERVISAR,,,,
1848,406,Santa Monica,1,Ayolas y Ceretti,07/08/24,23:32:00,A/M,NSD,FALTA SUPERVISAR,,,,
1849,227,General Belgrano,1,C. Gardel y Rosales,08/08/24,07:13:00,A/M,NSD,FALTA SUPERVISAR,,,,
1850,11,Don Bosco,1,Luro y Guido,08/08/24,11:19:00,A/P,NSD,FALTA SUPERVISAR,,,,
1851,11,Don Bosco,1,Luro y Guido,08/08/24,14:23:00,A/A,NSD,FALTA SUPERVISAR,,,,
1852,202,La Perla,1,Independencia y Tres de Febrero,08/08/24,17:21:00,A/P,NR,SI,,,,
1853,78,El Progreso,1,Vertiz y Mateoti,09/08/24,16:33:00,A/A,NSD,FALTA SUPERVISAR,,,,
1854,49,Villa Primera,1,Libertad y 1 De Mayo,09/08/24,17:10:00,CTA/M,NSD,FALTA SUPERVISAR,,,,
1855,109,Villa Lourdes,1,12 de Octubre y Don Orione ,09/08/24,17:11:00,A/A,NSD,FALTA SUPERVISAR,,,,
1856,622,Las Americas,1,J. B. Justo y Bordabehere,10/08/24,10:30:00,CAM/M,D,FALTA SUPERVISAR,,,,
1857,593,Camet,1,Beltran y M. Antonio,10/08/24,12:05:00,B/CTA,G,FALTA SUPERVISAR,,,,
1858,262,Parque Luro,1,Bvd. P.P. Ramos y Berutti,12/08/24,08:24:00,A/A,NSD,FALTA SUPERVISAR,,,,
1859,226,Las Dos Marias,1,Ruta 88 y Soler,12/08/24,15:01:00,A/M,NSD,FALTA SUPERVISAR,,,,
1860,668,Regional,1,Champagnat y R. Peña,12/08/24,16:36:00,A/M,G,FALTA SUPERVISAR,,,,
1861,125,Villa Primera,1,Champagnat y Chacabuco,13/08/24,08:25:00,A/A/A,NSD,FALTA SUPERVISAR,,,,
1862,279,Termas Huinco,1,T. Edison y Carasa,13/08/24,21:08:00,A/M,NSD,FALTA SUPERVISAR,,,,
1863,586,Los Andes,1,Champagnat y Rivadavia,14/08/24,01:31:00,A,NSD,FALTA SUPERVISAR,,,,
1864,451,Caisamar,1,Acevedo y Carvallo,14/08/24,11:31:00,CTA/M,EV,FALTA SUPERVISAR,,,,
1865,706,Nueve de Julio,1,Luro y Juncal,14/08/24,15:34:00,A/M,D,FALTA SUPERVISAR,,,,
1866,202,La Perla,1,Independencia y 9 de Julio,14/08/24,15:58:00,A/M,NR,SI,,,,
1867,375,San Carlos,1,J. J. Paso y Paunero,14/08/24,17:05:00,A/M,NR,NO,,,,
1868,76,Cerrito S,1,Cerrito y Vertiz,14/08/24,18:11:00,CTA/M,NR,NO,,,,
1869,63,Cerrito S,1,Cerrito y W. Morris,14/08/24,19:23:00,A/A,NR,NO,,,,
1870,472,Bosque Grande,1,Fortunato de la Plaza y Vignolo,15/08/24,17:40:00,A/A,EV,FALTA SUPERVISAR,,,,
1871,63,Cerrito S,1,Mario Bravo y Cerrito,16/08/24,11:12:00,A/M,G,FALTA SUPERVISAR,,,,
1872,48,Libertad,1,Brasil y Necochea,16/08/24,11:58:00,?,NSD,FALTA SUPERVISAR,,,,
1873,490,Los Andes,1,Alberti y Teodoro Bronzini,16/08/24,12:45:00,A/M,NR,NO,,,,
1874,33,Puerto,1,T. Edison y El Cano,16/08/24,14:08:00,CTA/P,G,FALTA SUPERVISAR,,,,
1875,102,Nueva Pompeya,1,Libertad y San Juan,16/08/24,16:28:00,A/P,NSD,FALTA SUPERVISAR,,,,
1876,443,La Perla,1,San Luis y Bvd. P.P. Ramos,16/08/24,21:33:00,A/M,NSD,FALTA SUPERVISAR,,,,
1877,528,Coronel Dorrego,1,Alio y Rivadavia,16/08/24,23:09:00,M/M,NR,NO,,,,
1878,479,San Jose,1,Independencia y Matheu,17/08/24,10:47:00,CTA/M,D,FALTA SUPERVISAR,,,,
1879,49,Villa Primera,1,Libertad y Francia,17/08/24,12:20:00,A/M,EV,FALTA SUPERVISAR,,,,
1880,541,Don Bosco,1,Rivadavia y La Pampa,17/08/24,16:25:00,A/B,NSD,FALTA SUPERVISAR,,,,
1881,23,Don Bosco,1,Jara y Alte. Brown,17/08/24,17:56:00,A/M,NR,NO,,,,
1882,341,Nueve de Julio,1,Libertad y Remedios de Escalada,17/08/24,21:14:00,A/A/A,NR,NO,,,,
1883,147,San Jose,1,Juan B. Justo y Talcahuano,17/08/24,23:04:00,A/M,VS,FALTA SUPERVISAR,,,,
1884,39,Punta Mogotes,1,De los Trabajadores y Arana Goiri,18/08/24,17:34:00,A/M,NSD,FALTA SUPERVISAR,,,,
1885,420,San Jose,1,Alvarado y Funes,19/08/24,07:31:00,A/M,NR,NO,,,,
1886,528,Coronel Dorrego,1,Alio y Belgrano,19/08/24,21:07:00,A/M,D,FALTA SUPERVISAR,,,,
1887,478,Plaza Mitre,1,Independencia y Gascon,20/08/24,19:25:00,A/M,NSD,FALTA SUPERVISAR,,,,
1888,29,Parque Luro,1,Constitucion y F.U. Camet,20/08/24,19:57:00,B,NSD,FALTA SUPERVISAR,,,,
1889,301,San Salvador,1,Cerrito y Rosales,21/08/24,05:36:00,A/A,NR,NO,,,,
1890,288,Termas Huinco,1,Fortunato de la Plaza y Triunvirato,21/08/24,05:41:00,A/A,VS,FALTA SUPERVISAR,,,,
1891,451,Caisamar,1,Acevedo y Carballo,21/08/24,07:34:00,A/M,NR,NO,,,,
1892,88,San Jose,1,R. Peña y 14 de Julio,21/08/24,11:51:00,CTA/M,NR,NO,,,,
1893,482,Don Bosco,1,20 de Septiembre y Belgrano,21/08/24,18:29:00,M,NSD,FALTA SUPERVISAR,,,,
1894,335,Jorge Newbery,1,Colon y Leguizamon,22/08/24,11:06:00,A/P,PI,FALTA SUPERVISAR,,,,
1895,482,Don Bosco,1,Belgrano y 20 de Septiembre,22/08/24,18:42:00,A/B,NSD,FALTA SUPERVISAR,,,,
1896,504,Parque Luro,1,Constitucion y Libres del Sud,23/08/24,07:57:00,A/P,NSD,FALTA SUPERVISAR,,,,
1897,388,Las Avenidas,1,12 de Octubre y L. Agote,23/08/24,12:43:00,CTA/A,NR,NO,,,,
1898,243,El Jardin Stella Maris,1,Newbery y C.de Hornos,23/08/24,12:47:00,A/M,NSD,FALTA SUPERVISAR,,,,
1899,262,Parque Luro,1,Felix U. Camet y Strobell,23/08/24,18:52:00,B,NSD,FALTA SUPERVISAR,,,,
1900,632,Sarmiento,1,Libertad y Malvinas,24/08/24,12:30:00,A/A,NSD,FALTA SUPERVISAR,,,,
1901,414,Jorge Newbery,1,Colon y Brasil,24/08/24,13:30:00,A/M,G,FALTA SUPERVISAR,,,,
1902,301,San Salvador,1,Cerrito y Bouchard,24/08/24,19:43:00,A/M,NSD,FALTA SUPERVISAR,,,,
1903,60,Nueve de Julio,1,Luro y Bahia Blanca,25/08/24,07:10:00,A,NSD,FALTA SUPERVISAR,,,,
1904,45,Peralta Ramos Oeste,1,J.J. Paso y Dorrego,25/08/24,15:14:00,A/M,NSD,FALTA SUPERVISAR,,,,
1905,290,Cerrito San Salvador,1,Fortunato de la Plaza y A. Korn,26/08/24,13:40:00,A/M,G,FALTA SUPERVISAR,,,,
1906,286,Villa Lourdes,1,T. Edison y Guahanani,26/08/24,17:59:00,A/M,NSD,FALTA SUPERVISAR,,,,
1907,686,Libertad,1,Berutti y Wilde,26/08/24,20:46:00,M/P,NSD,FALTA SUPERVISAR,,,,
1908,290,Cerrito San Salvador,1,Lanzilota y Fortunato de La Plaza,27/08/24,22:14:00,A/M,G,FALTA SUPERVISAR,,,,
1909,483,Don Bosco,1,Colon y Chaco,28/08/24,03:48:00,B/CTA,NR,NO,,,,
1910,74,San Antonio,1,Vertiz y Goni,28/08/24,13:18:00,M/M,EV,FALTA SUPERVISAR,,,,
1911,342,Las Lilas,1,Alberti y David Ortega,29/08/24,07:59:00,CTA/P,NSD,FALTA SUPERVISAR,,,,
1912,462,Fortunato de la Plaza,1,Fortunato de la Plaza y Dolores,29/08/24,16:26:00,M,NSD,FALTA SUPERVISAR,,,,
1913,414,Jorge Newbery,1,Colon y Brasil,30/08/24,11:40:00,A/M,G,FALTA SUPERVISAR,,,,
1914,596,Centro,1,Luro e Independencia,30/08/24,13:48:00,M/B,EV,FALTA SUPERVISAR,,,,
1915,296,El Martillo,1,Antartida Argentina y Gutenberg,31/08/24,11:39:00,A/M,NSD,FALTA SUPERVISAR,,,,
1916,216,Las Heras,1,Calabria y Goni,31/08/24,13:05:00,M,EV,FALTA SUPERVISAR,,,,
1917,581,centro,1,Independencia y Belgrano,31/08/24,18:04:00,A/P,G,FALTA SUPERVISAR,,,,
1918,22,San Cayetano,1,Falucho y Alio,31/08/24,18:54:00,A/M,NSD,FALTA SUPERVISAR,,,,
1919,339,Bernardino Rivadavia,1,Champagnat y Alberti,01/09/24,06:32:00,?,NSD,FALTA SUPERVISAR,,,,
1920,705,centro,1,Buenos Aires y Rivadavia,01/09/24,18:44:00,A/P,VS,FALTA SUPERVISAR,,,,
1921,338,Los Andes,1,Colon y Tres Arrollos,01/09/24,22:03:00,A/P,NSD,FALTA SUPERVISAR,,,,
1922,668,Regional,1,R. Peña y Bahia Blanca,02/09/24,06:56:00,A/M,NSD,FALTA SUPERVISAR,,,,
1923,447,Bernardino Rivadavia,1,Jara y Primera Junta,02/09/24,10:21:00,A/M,NSD,FALTA SUPERVISAR,,,,
1924,528,Coronel Dorrego,1,Alio y Rivadavia,02/09/24,20:35:00,CTA/A,NR,NO,,,,
1925,103,Macrocentro,1,Colon y Buenos Aires,02/09/24,23:10:00,M/B,VS,FALTA SUPERVISAR,,,,
1926,213,Villa Evita,1,Sicilia y de los Inmigrantes,03/09/24,08:09:00,A/POLICIA,NSD,FALTA SUPERVISAR,,,,
1927,67,San Jose,1,Catamarca y J.J. Paso,03/09/24,11:45:00,A/A,NR,NO,,,,
1928,33,Villa Lourdes,1,T. Edison y Ayolas,03/09/24,19:42:00,M,NSD,FALTA SUPERVISAR,,,,
1929,388,Las Avenidas,1,Magallanes y Galicia,04/09/24,08:34:00,CTA/A,NR,NO,,,,
1930,351,Las Avenidas,1,San Salvador y Gral. Savio,04/09/24,11:20:00,A/M,D,FALTA SUPERVISAR,,,,
1931,33,Villa Lourdes,1,T. Edison y El Cano,04/09/24,12:32:00,M,NSD,FALTA SUPERVISAR,,,,
1932,332,Hipodromo,1,Colon y Sandino,04/09/24,14:39:00,A/M,NSD,FALTA SUPERVISAR,,,,
1933,703,La Perla,1,Independencia y Libertad ,04/09/24,20:05:00,COL/A,VS,FALTA SUPERVISAR,,,,
1934,708,Puerto,1,J.B. Justo y De Los Trabajadores,05/09/24,01:05:00,M,FV,FALTA SUPERVISAR,,,,
1935,339,Bernardino Rivadavia,1,Alvarado y Champagnat,05/09/24,06:54:00,A/M,NSD,FALTA SUPERVISAR,,,,
1936,134,Caisamar,1,Constitucion y Unamuno,05/09/24,09:30:00,CTA/M,NSD,FALTA SUPERVISAR,,,,
1937,353,Las Avenidas,1,Gral Savio y Hernandarias,05/09/24,16:57:00,A/M,NSD,FALTA SUPERVISAR,,,,
1938,22,San Cayetano,1,Colon y Armenia,05/09/24,17:54:00,M/B,NSD,FALTA SUPERVISAR,,,,
1939,80,Macrocentro,1,Bvd. P.P. Ramos y Bolivar,06/09/24,08:28:00,M,NSD,FALTA SUPERVISAR,,,,
1940,122,El Gaucho,1,Champagnat y R. Peña,06/09/24,15:48:00,A/M,NSD,FALTA SUPERVISAR,,,,
1941,213,Villa Evita,1,Fortunato de la Plaza y de Los Inmigrantes,06/09/24,16:54:00,A/M,D,FALTA SUPERVISAR,,,,
1942,528,Coronel Dorrego,1,Alio y Belgrano,06/09/24,17:13:00,A/M,EV,FALTA SUPERVISAR,,,,
1943,498,Zacagnini,1,Camet y Vuelta de Obligado,07/09/24,10:46:00,A/B,D,FALTA SUPERVISAR,,,,
1944,130,Los Pinares,1,C. Arenal y Armenia,07/09/24,11:43:00,A,NSD,FALTA SUPERVISAR,,,,
1945,498,Zacagnini,1,F.U. Camet y Condarco,07/09/24,12:53:00,A/B,NSD,FALTA SUPERVISAR,,,,
1946,465,Santa Monica,1,Gaboto y Gamusso,07/09/24,14:18:00,A/M,NSD,FALTA SUPERVISAR,,,,
1947,262,Parque Luro,1,F.U. Camet y Falkner,07/09/24,14:17:00,CTA/A,D,FALTA SUPERVISAR,,,,
1948,16,Regional,1,Alio y Castelli,07/09/24,16:00:00,CTA/B,NSD,FALTA SUPERVISAR,,,,
1949,335,Jorge Newbery,1,Colony Wilde,07/09/24,17:30:00,A/M,NSD,FALTA SUPERVISAR,,,,
1950,244,Colinas Peralta Ramos,1,J. Newbery e Isla de los Estados,07/09/24,18:18:00,A/M,IC,FALTA SUPERVISAR,,,,
1951,288,Termas Huinco,1,Fortunato de la Plaza y Triunvirato,07/09/24,22:25:00,A/M,D,FALTA SUPERVISAR,,,,
1952,144,Santa Monica,1,Juan B. Justo y Pehuajo,08/09/24,12:48:00,A/M,VS,FALTA SUPERVISAR,,,,
1953,130,Los Pinares,1,De la Paollera y Zaballa,08/09/24,13:50:00,A/M,NSD,FALTA SUPERVISAR,,,,
1954,103,Macrocentro,1,Colon y Buenos Aires,08/09/24,15:28:00,A/P,NSD,FALTA SUPERVISAR,,,,
1955,33,Villa Lourdes,1,T. Edison y El Cano,09/09/24,18:09:00,A/B,NSD,FALTA SUPERVISAR,,,,
1956,369,San Carlos,1,Alem y Vicente Lopez,10/09/24,07:55:00,M/P,NSD,FALTA SUPERVISAR,,,,
1957,358,Villa Lourdes,1,Alem y Vicente Lopez,10/09/24,19:41:00,A/B,NSD,FALTA SUPERVISAR,,,,
1958,451,Caisamar,1,Carballo y Aragon,11/09/24,12:27:00,A/A,NSD,FALTA SUPERVISAR,,,,
1959,732,Libertad,1,Berutti y Czetz,11/09/24,13:50:00,A/M,EV,FALTA SUPERVISAR,,,,
1960,75,Colinas Peralta Ramos,1,T. Edison y Azopardo,11/09/24,15:10:00,M/P,NSD,FALTA SUPERVISAR,,,,
1961,67,San Jose,1,Catamarca y J.J. Paso,11/09/24,19:52:00,A/M,NSD,FALTA SUPERVISAR,,,,
1962,344,San Cayetano,1,Estado de Israel y San Martin,12/09/24,07:35:00,A/A,NSD,FALTA SUPERVISAR,,,,
1963,390,El Progreso,1,J. P. Ramos y Vertiz,12/09/24,11:26:00,A/B,EV,FALTA SUPERVISAR,,,,
1964,816,El Martillo,1,Puan y G. Chavez,12/09/24,12:35:00,A/B,NSD,FALTA SUPERVISAR,,,,
1965,272,Jardin Peralta Ramos,1,Mario Bravo y Mosconi,12/09/24,14:58:00,A/M,NR,NO,,,,
1966,475,Belisario Roldan,1,Alio y Gral. Roca,12/09/24,16:53:00,A/M,EV,FALTA SUPERVISAR,,,,
1967,706,Nueve de Julio,1,Luro y Champagnat,12/09/24,20:41:00,M,FV,FALTA SUPERVISAR,,,,
1968,640,Los Acantilados,1,Newbery y Calle 493,14/09/24,01:38:00,A/A,NR,NO,,,,
1969,111,Centro,1,Entre Rios y Rivadavia,14/09/24,10:19:00,M/P,NSD,FALTA SUPERVISAR,,,,
1970,243,El Jardin Stella Maris,1,Newbery y P. Narwal,14/09/24,13:12:00,A/M,NR,NO,,,,
1971,35,El Progreso,1,Fortunato de la Plaza y Talcahuano,14/09/24,14:52:00,A/CAM,NSD,FALTA SUPERVISAR,,,,
1972,485,Los Andes,1,Colon y Tierra del Fuego,14/09/24,20:33:00,A/M,NSD,FALTA SUPERVISAR,,,,
1973,103,Macrocentro,1,Tucuman y Alte. Brown,14/09/24,22:49:00,A/M,NSD,FALTA SUPERVISAR,,,,
1974,499,Zacagnini,1,Ruta 11 y Lambercianas,15/09/24,11:44:00,A/A/A,NSD,FALTA SUPERVISAR,,,,
1975,562,Bernardino Rivadavia,1,Jara y San Lorenzo,16/09/24,06:59:00,M,NSD,FALTA SUPERVISAR,,,,
1976,151,San Jose,1,Entre Rios y R. Peña,16/09/24,07:46:00,A/B,NSD,FALTA SUPERVISAR,,,,
1977,138,Villa Primera,1,Beruti y Malvinas,16/09/24,08:01:00,CTA/A,NSD,FALTA SUPERVISAR,,,,
1978,702,San Jose,1,Gaboto y J. P. Ramos,16/09/24,16:04:00,CTA/M,NSD,FALTA SUPERVISAR,,,,
1979,296,El Martillo,1,J. P. Ramos y Puan,16/09/24,17:20:00,A/M,NSD,FALTA SUPERVISAR,,,,
1980,531,Florentino Ameghino,1,Luro y Ciudad del Rosario,17/09/24,08:45:00,A/A,NSD,FALTA SUPERVISAR,,,,
1981,159,Coronel Dorrego,1,Luro y Chilavert,17/09/24,08:18:00,M/B,NSD,FALTA SUPERVISAR,,,,
1982,202,La Perla,1,Independencia y Balcarce,17/09/24,17:18:00,A/A,D,FALTA SUPERVISAR,,,,
1983,43,San Carlos,1,J.B. Justo y Lanzilota,18/09/24,10:17:00,CTA/M,NSD,FALTA SUPERVISAR,,,,
1984,153,San Juan,1,Colon y Espana,18/09/24,10:44:00,A/B,NSD,FALTA SUPERVISAR,,,,
1985,706,Nueve de Julio,1,Luro y Champagnat,18/09/24,11:24:00,A/M,G,FALTA SUPERVISAR,,,,
1986,609,Barrio Colinalegre,1,Ruta 88 y El Zorzal,18/09/24,15:52:00,CTA/M,G,FALTA SUPERVISAR,,,,
1987,679,Fortunato de la Plaza,1,Vertiz y Castex,19/09/24,07:48:00,A/M,NSD,FALTA SUPERVISAR,,,,
1988,589,Parque Camet,1,Ruta 11 y Scaglia,19/09/24,14:44:00,CTA/M,D,FALTA SUPERVISAR,,,,
1989,684,Aeroparque,1,Ruta 2 y Aeropuerto,19/09/24,16:25:00,CTA,EV,FALTA SUPERVISAR,,,,
1990,586,Los Andes,1,Champagnat y Alberti,19/09/24,16:57:00,A/A,NSD,FALTA SUPERVISAR,,,,
1991,338,Los Andes,1,Colon y Champagnat,19/09/24,17:27:00,M/B,NR,NO,,,,
1992,244,Colinas Peralta Ramos,1,Mario Bravo y T. Edison,20/09/24,07:42:00,M,PC,FALTA SUPERVISAR,,,,
1993,51,Villa Primera,1,Libertad e Italia,20/09/24,10:50:00,A/B,NSD,FALTA SUPERVISAR,,,,
1994,455,General Roca,1,Las Heras y Avellaneda,20/09/24,11:03:00,A/M,NR,NO,,,,
1995,226,Las Dos Marias,1,Ruta 88 y Genova,20/09/24,12:33:00,A/M,NSD,FALTA SUPERVISAR,,,,
1996,476,San Jose,1,Independencia y General Roca,20/09/24,16:09:00,A/A,NSD,FALTA SUPERVISAR,,,,
1997,578,Macrocentro,1,Bvd. Peralta Ramos y Guemes,20/09/24,17:52:00,A/M,NSD,FALTA SUPERVISAR,,,,
1998,144,Santa Monica,1,Juan B. Justo y San Juan,20/09/24,18:09:00,A/B,NSD,FALTA SUPERVISAR,,,,
1999,125,Villa Primera,1,Champagnate Ituzaingo,21/09/24,12:17:00,M,NSD,FALTA SUPERVISAR,,,,
2000,376,San Carlos,1,Buenos Aires y J.J. Paso,21/09/24,12:29:00,A/M,NSD,FALTA SUPERVISAR,,,,
2001,596,Centro,1,Luro e Independencia,21/09/24,14:38:00,A/M,NSD,FALTA SUPERVISAR,,,,
2002,589,Parque Camet,1,Ruta 11 y kraglievich,23/09/24,14:27:00,A/A,NSD,FALTA SUPERVISAR,,,,
2003,586,Los Andes,1,Belgrano y Bahia Blanca,23/09/24,15:46:00,A/M,NSD,FALTA SUPERVISAR,,,,
2004,202,La Perla,1,independencia y 11 de Septiembre,23/09/24,20:18:00,A/M,VS,FALTA SUPERVISAR,,,,
2005,585,Centro,1,Colon y B. Mitre,24/09/24,10:06:00,A/B,NSD,FALTA SUPERVISAR,,,,
2006,401,Bosque Grande,1,R. Inda y Fortunato de la Plaza,24/09/24,14:43:00,A/M,PC,FALTA SUPERVISAR,,,,
2007,482,Don Bosco,1,Belgrano y Espana,24/09/24,15:35:00,A/B,NR,NO,,,,
2008,328,Nueve de Julio,1,Luro y F. Errea,24/09/24,17:23:00,CTA/A,MR,FALTA SUPERVISAR,,,,
2009,153,San Juan,1,Colon y Jujuy,24/09/24,22:25:00,A/M,NSD,FALTA SUPERVISAR,,,,
2010,45,Peralta Ramos Oeste,1,Canosa y El Cano,25/09/24,15:55:00,A/M,NSD,FALTA SUPERVISAR,,,,
2011,358,Villa Lourdes,1,J. B. Justo y Pellegrini,25/09/24,16:44:00,A/B,NSD,FALTA SUPERVISAR,,,,
2012,632,Sarmiento,1,Libertad y Malvinas,26/09/24,12:51:00,A/M,NSD,FALTA SUPERVISAR,,,,
2013,703,La Perla,1,Independencia y Ayacucho,26/09/24,16:31:00,A/M,NSD,FALTA SUPERVISAR,,,,
2014,447,Bernardino Rivadavia,1,Jara y Formosa,27/09/24,07:19:00,A/M,NR,NO,,,,
2015,485,Los Andes,1,Colon y Mexico,27/09/24,09:40:00,A/A,NSD,FALTA SUPERVISAR,,,,
2016,669,Alfar,1,Sta Maria de Oro y Diagonal EEUU,27/09/24,14:18:00,A/P,NSD,FALTA SUPERVISAR,,,,
2017,340,San Cayetano,1,Colon y Republica del Libano ,28/09/24,08:40:00,A/M,NSD,FALTA SUPERVISAR,,,,
2018,31,Peralta Ramos Oeste,1,San Salvador y de las Olimpiadas,28/09/24,22:50:00,A/M,NSD,FALTA SUPERVISAR,,,,
2019,48,Libertad,1,Libertad y Brasil,29/09/24,13:23:00,B,PC,FALTA SUPERVISAR,,,,
2020,61,Puerto,1,12 de Octubre y De los TrabajaDores,29/09/24,22:14:00,A/M,NSD,FALTA SUPERVISAR,,,,
2021,335,Jorge Newbery,1,Colon y Wilde,30/09/24,06:50:00,A/M,MR,FALTA SUPERVISAR,,,,
2022,55,Sarmiento,1,Luro y Teodoro Bronzini,30/09/24,11:28:00,CTA/A,NSD,FALTA SUPERVISAR,,,,
2023,404,General Pueyrredon,1,Genova y Ratery,01/10/24,08:40:00,B/CTA,NSD,FALTA SUPERVISAR,,,,
2024,339,Bernardino Rivadavia,1,Alvarado y Champagnat ,01/10/24,10:49:00,CTA/M,NR,NO,,,,
2025,145,Santa Monica,1,Polonia y Solis,01/10/24,11:08:00,A/M,NSD,FALTA SUPERVISAR,,,,
2026,596,Centro,1,Independencia y 25 de Mayo,01/10/24,12:51:00,A/M,NSD,FALTA SUPERVISAR,,,,
2027,153,San Juan,1,Colon y Espana,01/10/24,15:18:00,A/A,NSD,FALTA SUPERVISAR,,,,
2028,102,Nueva Pompeya,1,Libertad y La Pampa,01/10/24,19:02:00,A/M,NR,NO,,,,
2029,700,Centro,1,Colon y Jujuy,01/10/24,22:55:00,A/M,NSD,FALTA SUPERVISAR,,,,
2030,292,Cerrito S,1,Cerrito y Calabria,02/10/24,12:55:00,CTA/P,G,FALTA SUPERVISAR,,,,
2031,456,Vieja Terminal,1,Fragata Sarmiento y Garay,02/10/24,13:16:00,CTA/A,NSD,FALTA SUPERVISAR,,,,
2032,578,Macrocentro,1,Alsina y Bvd. P.P. Ramos,30/12/23,17:58:00,A/P,PI,FALTA SUPERVISAR,,,,
2033,262,Parque Luro,1,Beruti y Bvd. P.P. Ramos,02/10/24,18:17:00,A/B,NSD,FALTA SUPERVISAR,,,,
2034,478,Plaza Mitre,1,Independencia y Alberti ,02/10/24,22:01:00,M,PC,FALTA SUPERVISAR,,,,
2035,231,Belisario Roldan,1,Alio y Castelli,03/10/24,12:27:00,A/M,NSD,FALTA SUPERVISAR,,,,
2036,478,Plaza Mitre,1,Independencia y Gascon,04/10/24,00:06:00,A/M,VS,FALTA SUPERVISAR,,,,
2037,703,La Perla,1,Independencia e Ituzaingo,04/10/24,07:56:00,A/A,NSD,FALTA SUPERVISAR,,,,
2038,675,Termas Huinco,1,Rosales y Triunvirato,04/10/24,07:32:00,A/B,NSD,FALTA SUPERVISAR,,,,
2039,145,Santa Monica,1,Jara y J.B. Justo,04/10/24,13:37:00,M/P,NSD,FALTA SUPERVISAR,,,,
2040,296,El Martillo,1,J. P. Ramos y Calabria,04/10/24,20:32:00,M,PC,FALTA SUPERVISAR,,,,
2041,612,Las Avenidas,1,Gaboto y Talcahuano,05/10/24,01:30:00,A/M,NR,NO,,,,
2042,809,Los Andes,1,Luro y Mexico,05/10/24,06:31:00,A/M,NSD,FALTA SUPERVISAR,,,,
2043,33,Villa Lourdes,1,Rivadavia y Salta,05/10/24,09:12:00,A/M,NR,NO,,,,
2044,542,Centro,1,T. Edison y Ayolas,05/10/24,14:28:00,A/M,NSD,FALTA SUPERVISAR,,,,
2045,705,centro,1,Buenos Aires y Rivadavia,05/10/24,15:25:00,A/P,NSD,FALTA SUPERVISAR,,,,
2046,531,Florentino Ameghino,1,Belgrano y Canada,05/10/24,21:09:00,M/B,NSD,FALTA SUPERVISAR,,,,
2047,405,Bosque Grande,1,Polonia y Azopardo,06/10/24,05:38:00,M/PATRULLA,PC,FALTA SUPERVISAR,,,,
2048,305,Libertad,1,Luro y Pigue,06/10/24,06:52:00,A/A,NR,NO,,,,
2049,370,El Grosellar,1,Carballo y Aguirre,06/10/24,08:16:00,M,PC,FALTA SUPERVISAR,,,,
2050,227,General Belgrano,1,Carlos Gardel y Vertiz,06/10/24,18:30:00,A/M,NR,NO,,,,
2051,542,Centro,1,Jujuy y Rivadavia,06/10/24,23:10:00,A/M,NR,NO,,,,
2052,329,Libertad,1,Luro y Portugal,07/10/24,10:16:00,CTA/A,VS,FALTA SUPERVISAR,,,,
2053,341,Nueve de Julio,1,Libertad y Albarracin,07/10/24,19:51:00,A/M,NSD,FALTA SUPERVISAR,,,,
2054,109,Villa Lourdes,1,12 de Octubre y Bosch,07/10/24,21:56:00,A/M,NSD,FALTA SUPERVISAR,,,,
2055,8,San Juan,1,Alvarado y Olazabal,09/10/24,07:24:00,A/A,NSD,FALTA SUPERVISAR,,,,
2056,23,Don Bosco,1,Colon y 1 de Mayo,09/10/24,11:38:00,CTA/P,NSD,FALTA SUPERVISAR,,,,
2057,54,Nueve de Julio,1,San Martin y Alio,09/10/24,13:35:00,A/M,NSD,FALTA SUPERVISAR,,,,
2058,203,Macrocentro,1,Colon y Lamadrid,09/10/24,17:27:00,A/M,NSD,FALTA SUPERVISAR,,,,
2059,710,Bernardino Rivadavia,1,Jara y R. Peña,10/10/24,08:02:00,CTA/P,NSD,FALTA SUPERVISAR,,,,
2060,54,Nueve de Julio,1,Alio y San Martin,10/10/24,15:31:00,A/M,NSD,FALTA SUPERVISAR,,,,
2061,244,Colinas Peralta Ramos,1,Newbery e Isla de los Estados,10/10/24,16:30:00,M/B,NSD,FALTA SUPERVISAR,,,,
2062,440,Lomas de Stella Maris,1,Bvd.P.P.Ramos y Bolivar,10/10/24,19:44:00,A/A,NSD,FALTA SUPERVISAR,,,,
2063,430,Regional,1,Savedra y Tres Arroyos,11/10/24,12:09:00,A/M,G,FALTA SUPERVISAR,,,,
2064,706,Nueve de Julio,1,Champagnat y 9 de Julio,11/10/24,13:23:00,CTA/M,NSD,FALTA SUPERVISAR,,,,
2065,327,Nueve de Julio,1,Alio y Libertad,11/10/24,07:22:00,M/P,PI,FALTA SUPERVISAR,,,,
